"Rua Capitão Roberto Ferreira Maldos";"Jardim Bela Vista";"12209-003";1;"#REF!";"Rua Capitão Roberto Ferreira Maldos , Jardim Bela Vista , São José dos Campos, SP";45.8858623;23.1781439
"Avenida Doutor Mário Galvão";"Jardim Bela Vista";"12209-004";5;"#REF!";"Avenida Doutor Mário Galvão , Jardim Bela Vista , São José dos Campos, SP";45.8854018;23.8854018
"Rua Romeu Carnevalli";"Jardim Bela Vista";"12209-005";1;"#REF!";"Rua Romeu Carnevalli , Jardim Bela Vista , São José dos Campos, SP";45.8865044;23.8865044
"Praça do Expedicionário";"Jardim Bela Vista";"12209-030";3;"#REF!";"Praça do Expedicionário , Jardim Bela Vista , São José dos Campos, SP";45.8883988;23.1793853
"Rua Ana Rosa";"Vila Mascarenhas Ferraz";"12209-050";3;"#REF!";"Rua Ana Rosa , Vila Mascarenhas Ferraz , São José dos Campos, SP";45.8904811;23.1763372
"Rua Tenente Manuel Pedro de Carvalho";"Vila Santa Helena";"12209-060";4;"#REF!";"Rua Tenente Manuel Pedro de Carvalho , Vila Santa Helena , São José dos Campos, SP";45.8899976;23.1774782
"Rua Helena Mascarenhas";"Vila Mascarenhas Ferraz";"12209-070";5;"#REF!";"Rua Helena Mascarenhas , Vila Mascarenhas Ferraz , São José dos Campos, SP";45.8892650;23.1769410
"Rua Ana Eufrásia";"Jardim Bela Vista";"12209-071";2;"#REF!";"Rua Ana Eufrásia , Jardim Bela Vista , São José dos Campos, SP";45.8910989;23.8910989
"Rua Flávio Berling Macedo";"Vila Santa Helena";"12209-080";4;"#REF!";"Rua Flávio Berling Macedo , Vila Santa Helena , São José dos Campos, SP";45.8878543;23.1788824
"Rua Sebastião Felício";"Jardim Bela Vista";"12209-090";3;"#REF!";"Rua Sebastião Felício , Jardim Bela Vista , São José dos Campos, SP";45.8882529;23.8882529
"Rua Laudelino Nogueira";"Jardim Bela Vista";"12209-100";2;"#REF!";"Rua Laudelino Nogueira , Jardim Bela Vista , São José dos Campos, SP";45.8876442;23.8876442
"Rua José Leite da Silva";"Jardim Bela Vista";"12209-110";3;"#REF!";"Rua José Leite da Silva , Jardim Bela Vista , São José dos Campos, SP";45.8870744;23.8870744
"Rua Geraldo Augusto dos Santos";"Jardim Bela Vista";"12209-120";2;"#REF!";"Rua Geraldo Augusto dos Santos , Jardim Bela Vista , São José dos Campos, SP";45.8874831;23.1754301
"Rua Doutor Gaspar Resende";"Jardim Bela Vista";"12209-140";1;"#REF!";"Rua Doutor Gaspar Resende , Jardim Bela Vista , São José dos Campos, SP";45.8879890;23.8879890
